GuestName,Comment,Rating,ReviewDate,Source,Language
Ömer kaya,"We are completely satisfied! Everything was perfect – the room was clean, the staff very friendly and helpful, the food delicious, and the overall atmosphere pleasant. We thoroughly enjoyed our stay and can wholeheartedly recommend this hotel. Thank you for the excellent service!",5,2026-08-03T11:35:00Z,Import,en
Ufuk Kaygisiz,"We stayed at the Adora Hotel in Antalya and had a wonderful holiday. The hotel is very clean and well-maintained. The food was varied and delicious, so everyone could find something to their liking. The staff were always friendly, helpful, and attentive. We especially enjoyed the beautiful beach, the large pools, and the diverse entertainment program. The rooms were also clean and comfortable. Overall, we had a fantastic time and would definitely recommend the hotel. We would love to come back!",5,2026-08-03T11:15:00Z,Import,en
İstanbulenergy Drink,"The hotel is very nice, the staff are very attentive and friendly, especially a young man in the restaurant, if I remember correctly his name was Gergen. Even though it wasn't dinner time, he brought us food because we were hungry and took care of us. He was so friendly that I felt the need to write this review. Also, we called room service to raise the portable bed in the room, and they came and changed the bed immediately, without any complaints or grumbling, with a smile and attentiveness. I guess we've become so used to not receiving good service despite paying for it that the service here made me very happy.",5,2026-08-03T07:30:43Z,Import,tr
Jeff W,"3 stars. The room was nice, the grounds green. However, many things on the property are outdated and not maintained. The food was always cold, and while the selection is large on the first day, it's constantly repeated, so after a week, you lose your appetite. In our opinion, the biggest problem is the situation with the sun loungers on the beach. They are ""reserved"" very early in the morning and then remain unused all day. Nothing is done about it. The cocktails are good, but they are sometimes professionally made and sometimes less so. It's a shame that some waiters serve drinks in plastic cups in the evening. The service at reception was very unpleasant and, in our opinion, unfriendly. A late check-out costs €15/hour. All in all, it's a normal hotel, perfectly fine for a week's family vacation. Everything on the property is easily accessible, and there's an entertainment program throughout the day.

The service at mealtimes isn't particularly good; dishes are cleared, yes, but if you're lucky, you might be asked about drinks once per meal. We got our own second drink, and the same went for our first one at lunchtime. We often felt ignored here.

The selection of juices, especially at breakfast, is poor; they taste completely artificial. Freshly squeezed juices were available for an extra charge.",3,2026-08-03T06:22:09Z,Import,en
Nisanur Dülger,"In a word, a perfect hotel. The food, the cleanliness, and above all, their communication with the guests – they truly take care of everyone individually. I've been going to this hotel for 3 years and I'm really very satisfied. Everyone has a smile on their face. The variety and taste of the food were amazing. I highly recommend it; you will never leave unhappy. I definitely recommend it, I think you should give it a chance 🥰",5,2026-08-03T05:13:34Z,Import,tr
Zerina Mahmutovic,"The holiday at Adora Hotel was fantastic from the food, the sea, the pool to the disco in the evening, the staff was very pleasant and professional, the resort has everything you could need at any time, bars that are open 24 hours and more. If we were to come to Turkey again, we would definitely visit Adora again.",5,2026-08-03T04:05:00Z,Import,en
A.H.,"The hotel has a very nice complex. The facilities are excellent, and there's something for everyone.

We had a bungalow room. It could have been cleaned more thoroughly. Otherwise, the cleaning was reliable, and the minibar was stocked with international drinks. There could also have been more storage space for our belongings for four people.

The food was excellent. There was a huge selection, and there was something for everyone, even at any time of day.

The sports facilities are highly recommended. The instructors are very friendly.

We also used the spa and can highly recommend it.

All in all, it's a great family hotel.",4,2026-08-03T02:56:26Z,Import,en
Nataliya Bayazitova,"We had a truly luxurious vacation at the fabulous Adora Hotel! Thank you so much for the top-notch service; there was nothing to complain about. This is our sixth time in Turkey, but this hotel is beyond praise. The staff is polite, and the waiters are masters of their craft. A special THANK YOU to the Shehrazad restaurant and the manager, Ida, for the compliments on the table and the wonderful atmosphere created for our large group!!! We're planning to visit you again next year; look forward to seeing you!",5,2026-08-03T01:47:51Z,Import,en
Денис Гриценко,"Excellent service! Excellent cuisine! You can barely hear the shows! There's no blaring music, apparently because the hotel is a family-friendly place. There are plenty of sun loungers on the beach, which was a pleasant surprise. Perfect for a family vacation!",5,2026-08-03T00:39:17Z,Import,en
Swetlana Frühauf (Swetik),"Very nice, large hotel, very friendly staff",5,2026-08-02T23:30:43Z,Import,en
Дми Наз,"I really liked this hotel and highly recommend it for a family vacation! It has it all: a wonderful sandy beach with a gentle slope into the sea, fine pebbles at the entrance, comfortable for your feet, and clean, clear water. There's great entertainment and a mini club for children, and plenty of activities for adults, too. There are shops on site where you can buy everything you need, as well as numerous bars and restaurants. I'd especially like to mention the Sehrazat à la carte restaurant, located on the roof of the main building, offering a stunning view of the sea and surrounding area. Excellent service and delicious cuisine! The hotel gets a solid 5!",5,2026-08-02T22:22:09Z,Import,en
Darvin Villerstoune,"Everything was great, I recommend it, I liked the Shekhrozat restaurant in the hotel the most!",5,2026-08-02T21:13:34Z,Import,en
Kinga Wojciechowska-Kozłowska,"A hotel with enormous potential, perfectly situated amidst a beautiful garden.
A wide selection of food, all fresh and beautifully presented.
The service was top-notch, striving to meet all guest needs.
The à la carte restaurant made a very good impression on us. The food was fresh, delicious, and beautifully presented, and the service was polite and helpful. The pleasant atmosphere made us happy to return. I highly recommend it!",5,2026-08-02T20:05:00Z,Import,en
Евгений Владимиров,Great staff!,5,2026-08-02T18:56:26Z,Import,en
Marina Iva,"A wonderful hotel with a clear sea. I've been to Turkey many times, but I liked this hotel the most. There's plenty of food to choose from, and the drinks and cocktails are good. The a la carte menu on the 4th floor was delicious. The receptionist, Ida, is always polite.",5,2026-08-02T17:47:51Z,Import,tr
Анастасия Бурлуцкая,"We recommend it to everyone!!!
We are very satisfied!",5,2026-08-02T16:39:17Z,Import,en
Ирина Авдеева,"A wonderful hotel! We thank the entire staff for their attentive, friendly, and caring attitude towards their guests. This isn't our first time in Turkey, so we can compare. Beautiful grounds, excellent housekeeping and cleanliness throughout, and delicious cuisine!!!
We'll definitely be back next year!!!",5,2026-08-02T15:30:43Z,Import,en
Victoria Gherceac,"The restaurant is superb, caring and very attentive people. I recommend!",5,2026-08-02T14:22:09Z,Import,en
Michał Masłowski,"A great hotel, everything was perfect. Great entertainment (with the best animator, Alina!), fantastic evening shows every day. The food was good, and the pool, waterslides, and sea were fantastic!",5,2026-08-02T13:13:34Z,Import,en
Michelle Fidanidis,"We are very satisfied with everything. The food is delicious, there's a wide selection of dishes, and plenty of drinks at the various bars. The pool is always clean and not too crowded. The spa area is very comfortably furnished, and you can take a little time out there.",5,2026-08-02T12:05:00Z,Import,en
Aida Pokvic,"Everything was great, lots of food selection, all the staff very friendly!! The only thing that could be improved is that the rooms could have a double bed instead of the sofa bed for the children. Overall, everything was perfect.",5,2026-08-02T10:56:26Z,Import,en
kuzi,"It's one of the best hotels I've ever stayed in. The evening show is so beautifully designed, something different every day. There's even a Michael Jackson show! And the daytime entertainment is fantastic. I'd like to thank Berat and Tolga for making everything so fun and beautiful, and also the guest relations staff, Elif and Umut, who are both so lovely.",5,2026-08-02T09:47:51Z,Import,tr
Le Boulevard ELLA,Absolutely fantastic!,5,2026-08-02T08:39:17Z,Import,en
Vanessa,I found the service to be very good. The staff were very friendly and helpful.,5,2026-08-02T07:33:42Z,Import,en
Institut Phibeauté,"A wonderful hotel, very suitable and high quality for children. The staff are superb.",5,2026-08-02T06:31:05Z,Import,en
Ajla,"Overall, we had a very nice stay at the hotel. The staff were always friendly and welcoming, and there was a great variety of food available throughout the day. You could always find something to eat, and there were plenty of bars and snack bars to choose from.

The public restrooms were very clean and were cleaned regularly, which we really appreciated.

The only area that could be improved is the service, especially during dinner. Sometimes we had to wait quite a while before someone came to take our drink order or bring the drinks.

The location is good, but there isn't much around the hotel. If you want to go shopping, you need to drive a little. However, there is a bus stop directly in front of the hotel with buses going to the bazaar and to Land of Legends, which is very convenient and well organized.

Overall, we enjoyed our stay and would recommend the hotel.",5,2026-08-02T05:28:29Z,Import,en
Larisa Suri,The people working here were exceptionally friendly and kind. Anywhere you go they would greet you with a huge smile on their face.,5,2026-08-02T04:25:52Z,Import,en
Aylin Yesil,Good service and font hotel for family trip,5,2026-08-02T03:23:16Z,Import,en
Martin Prvý,"The rooms are very dark, the house would change their color.
The service in the dining room is not very efficient, it's more like self-service. The bars and the service in the bars is excellent. The sea is clean, the food is good. Overall the area and the service are good.",4,2026-08-02T02:20:39Z,Import,en
Wladimir Lemenow,"A very nice hotel.

Perfect for families.",5,2026-08-02T01:18:03Z,Import,en
marian polakovic,"Really satisfied with all personel, bars and restaurant good. Food fantastic, only missing more seafood.
For improvement, the rooms are too dark and not enough light, and I think also cleaning of rooms could be in better stsndard.
Globally we were satisfied in Adora.",4,2026-08-02T00:15:26Z,Import,tr
Charles Pinner,We would have liked a sitting room in our family room. We love the hotel & are enjoying our stay immensely and would recommend it to others.,5,2026-08-01T23:12:50Z,Import,en
Даша Козлова,"a good hotel with excellent service, delicious food and wonderful staff",5,2026-08-01T22:10:13Z,Import,en
CARMEN VERONICA POPESCU,Very beautiful experience.,5,2026-08-01T21:07:37Z,Import,en
Simona Irina Petre,Everything is superlative!,5,2026-08-01T20:05:00Z,Import,en
Tamara Prvá,"This place is very nice. Everything is perfect, food is delicious. Good animation team and amazing programs. The only downside are rooms which are dark and smaller.",4,2026-08-01T19:02:24Z,Import,en
Cristina Manuela Stamin,"A wonderful experience. The hotel is very close to the beach, very kind staff.",5,2026-08-01T17:59:47Z,Import,en
Alexandra Negut,"Everything was great! The food was very good and diverse. The beach is very close, clean and beautifully arranged! Beautiful shows and parties every evening, multiple activities for children and adults! I made a reservation at the a la carte restaurant Capadocia with the help of Mr. Meclt, who was understanding and offered helpful information. A beautiful and successful vacation!",5,2026-08-01T16:57:10Z,Import,en
Halida Dzilic,"Very beautiful, great restaurant, superb food and a fantastic view, and the staff is especially wonderful!",5,2026-08-01T15:54:34Z,Import,en
Elif,"We were very pleased with everything during our holiday; the cleanliness of the hotel, the food, the attentiveness and friendliness of the staff were truly wonderful. We would also like to extend a special thank you to the animation team, who added so much color to our holiday; thanks to you, we created unforgettable memories.",5,2026-08-01T14:51:57Z,Import,en
Şahin ŞİMŞEK,"We were really pleased; the food was delicious, the entertainment was great, there was an activity every hour, archery was very fun, everyone who comes here should try it at least once. The rooms were very clean, it's a perfect value-for-money hotel.",5,2026-08-01T13:49:21Z,Import,en
Onurcan Akyıldız,"This is our second visit to the hotel. The staff are very friendly, the rooms are clean, and the food is delicious and varied. The animation team ensures a fun-filled holiday with continuous activities throughout the day. Special thanks to Eren and Berat from the animation team.",5,2026-08-01T12:46:44Z,Import,en
Sa. W.,"Beautiful resort and clean rooms.

Unfortunately, the food was often cold and the staff, especially at reception, were frequently moody. The welcome and checkout were neither friendly nor pleasant! The sun lounger situation on the beach needs improvement. If you don't reserve loungers, you won't get a spot on the beach!",3,2026-08-01T11:44:08Z,Import,en
Ivana Dolha,"I recommend Hotel Adora to all ten of us! We had a wonderful holiday here and would definitely like to come back here.

A big plus was the rich animation program for children and adults. The children had a great time during the day with darts, water polo, kite flying, picnics and mini golf. Every evening there was a popular mini disco, where the lovely animators invited the children to the program during dinner. They managed to keep them interested and the children looked forward to it every evening. Adults were also thought of, for whom a varied evening program was prepared.

The food was delicious, with a really large selection and the helpful staff together with the nice waiters created a pleasant atmosphere. The hotel is located just a short distance from the sea, which was beautifully clean. There were many small shells on the beach, which the children were very happy about, and there were also sun loungers. I also appreciate the fact that everything was close and at hand.

Special thanks to our Slovak animator Veronika, who devoted herself to the little ones with love and great patience.

Thank you for a wonderful vacation and I believe that we will return to the Adora Hotel next year.",5,2026-08-01T10:41:31Z,Import,en
Kübra A,"This is our second time visiting this hotel. The staff's friendly smiles and energy make your vacation even better, and the animation team ensures you have a full day of fun. The cuisine is varied and caters to all tastes. We will definitely return for another vacation. Thank you for everything.",5,2026-08-01T09:38:55Z,Import,en
Selçuk Tekinarslan,"We had a wonderful holiday. It's a hotel we've returned to with my family, and one we always choose and recommend. The staff are like family; everyone is very friendly and helpful. The rooms are clean and high-quality. There are entertainment and activities to suit everyone. The food quality in the hotel's à la carte restaurants is top-notch. Many thanks to the guest relations department, especially to Umut. The animation team did an amazing job; many thanks to the entire team, especially Tolga. The service throughout the hotel is fantastic, but I must say that the food quality could be improved for a hotel of this size.",5,2026-08-01T08:36:18Z,Import,tr
Valeriu Bordei,Amazing hotel,5,2026-08-01T07:30:43Z,Import,en
Mükremin SARIKAYA,"The rooms are clean, spacious and airy, the area is large but compact, making everything easily accessible, the food is varied and delicious, you can find grilled dishes at every meal. The pool, aqua park and children's aqua park are nice and adequate. The sea is sandy and shallow.",5,2026-08-01T06:22:09Z,Import,en
Samet Demirci,We would like to thank Mr. Yusuf and Ms. İda at Şehrazat restaurant for their attention and care. We were very pleased with everything. We recommend it to anyone who wants to come.,5,2026-08-01T05:13:34Z,Import,tr
Света BO,"Great hotel! Excellent service, nice rooms, convenient location.
The Adora Hotel exceeded all expectations! The cuisine was varied and delicious, and I especially loved the restaurant on the 4th floor with its beautiful views and excellent food.",5,2026-08-01T04:05:00Z,Import,en
I. Mildebrath,"We stayed at Adora for a week and celebrated my boyfriend's birthday there. The team went to great lengths to make our stay and the birthday celebration as enjoyable as possible.

We had a wonderful experience. We were also very happy with the food and the overall concept.",5,2026-08-01T02:56:26Z,Import,en
Елизавета Сорокина,"Excellent hotel! We stayed here for nine nights for the first time and were very pleased. The staff and service were wonderful, and the rooms were cleaned daily!
Various shows and activities for people of all ages every day! We loved everything!
On our last day, we tried the Mediterranean restaurant ""Shehrazat."" It was delicious, and the food was served quickly! We were very pleased! We'll definitely come back!",5,2026-08-01T01:47:51Z,Import,en
Iwuk,"A pleasant hotel. The rooms are spacious, modern, and very clean; the cleaning service was a delight every day. The food was varied: a huge selection of fresh fruits, meats, and local sweets to suit every taste. The stay was wonderful. The Mediterranean restaurant was especially memorable; it was incredibly delicious.",5,2026-08-01T00:39:17Z,Import,en
Eda Karakaya,"This is our second visit to the hotel and we are very pleased. Everything was superb, from the location and the food to the entertainment. We had à la carte dinner and it was delicious. I would definitely recommend this hotel.",5,2026-07-31T23:30:43Z,Import,en
Arbnor Shala,"Everything was perfect, hotel, service, room etc",5,2026-07-31T22:22:09Z,Import,en
Valeria Tereschenko,"Wonderful hotel, very friendly staff, beautiful locations, very interesting shows and evening programs, and varied food! Sweets are a special treat.",5,2026-07-31T21:13:34Z,Import,en
Daniel Knat,"Excellent hotel, tasty and clean",5,2026-07-31T20:05:00Z,Import,en
Елена Дегтерева,"Wonderful hotel, entertainment, delicious cuisine in the restaurants and wonderful friendly staff!",5,2026-07-31T18:56:26Z,Import,en
Ирина,"The Adora Hotel leaves only positive impressions. It's beautiful, well-maintained, and cozy. We visited the rooftop a la carte restaurant, Sehrazat. The amazing view of the sunset over the sea is mesmerizing! The staff is very helpful. Special thanks to guest relations manager Ida! She's a caring and attentive person who will help solve any problem!",5,2026-07-31T17:47:51Z,Import,en
Дмитрий Степанов,"The food was delicious and the staff was friendly, but the room cleaning left much to be desired.",5,2026-07-31T16:39:17Z,Import,en
Coskun Sakaryali,"Everything was wonderful. The staff were friendly. We were very pleased. The food was delicious. In short, everything was great!!!",5,2026-07-31T15:30:43Z,Import,en
Rüzgar Eser,"I had a truly unforgettable vacation during my stay at Adora Hotel & Resort, and I was so pleased with the experience that I even extended my stay! It's a cheerful and high-quality facility, extremely suitable for families with children.
From the moment we arrived, the speed of the welcome, the friendliness and helpfulness of the staff made us feel like we had come to the right place. The cleanliness of the rooms was superb; they were cleaned regularly and meticulously every day, and our requests for linen changes were met immediately.
The beach and pool areas were very clean, well-maintained, and enjoyable. We were extremely satisfied with the swimming areas. The food was generally very good; the A la Carte restaurants were especially wonderful, and the speed of the waiters was commendable. (As a small constructive note, if the taste of the grilled dishes could be improved a little, it would be perfect.)
The daytime and evening entertainment and activities at the hotel were extremely high-quality and fun; we were never bored. I would also like to make a special mention of two valuable employees to thank:
I would like to thank Ms. Damla from Guest Relations for her sincerity, warm conversation that made me feel like I was talking to a friend I've known for years, and her solution-oriented approach.
I would also like to extend my extra thanks to Mr. Mehmet Ali, the bar captain, for his friendly conversation, warm approach, interest, and attention. Kudos to the entire team for their hard work; I definitely think I will come again. See you soon.",5,2026-07-31T14:22:09Z,Import,tr
Imran C,"The stay was very pleasant. Service and food were good, although the food was often served a bit cold. The location is excellent, and the beach is shallow. Unfortunately, the air conditioning in the room struggled with the 40-degree outside temperature, making the nights somewhat hot and uncomfortable. The staff, however, were very friendly. In my opinion, the price-performance ratio is very good. The Sehrazat restaurant, with its stunning view, is highly recommended. We particularly enjoyed the food prepared by Chef Mucahit. The service there was excellent. The view alone makes it a highly recommended option for any stay.",4,2026-07-31T13:13:34Z,Import,en
Сергей АСБ,"A wonderful hotel. The staff is friendly, the grounds are well-maintained, and they really do keep everything clean, from the restaurant to the restrooms on the beach!
A variety of food and drinks, and the bartenders make excellent cocktails. There are plenty of bar locations and snacks throughout the day, plus the lobby is open 24/7.
I'd especially like to express my gratitude to Ida from Guest Relations, who promptly resolves all my questions, from booking à la carte restaurants and birthday celebrations to various household details!",5,2026-07-31T12:05:00Z,Import,en
Benjamin Arndt,"Our stay at the Andora Hotel & Resort was a complete success. The hotel is very well-maintained and clean, and the rooms are comfortably furnished. All the staff were friendly, attentive, and helpful at all times, so we felt welcome from the very first moment.",5,2026-07-31T10:56:26Z,Import,en
Joel Born,"We had a wonderful stay at the Adora Hotel in Kadriye, Antalya. The staff were very friendly and helpful, the rooms were clean and comfortable. The food was varied and delicious, and the well-maintained grounds with the beautiful beach made our holiday perfect. We would love to come back and would definitely recommend this hotel!",5,2026-07-31T09:47:51Z,Import,en
Maksim,"Overcrowded and Restrictions with All Inclusive Plus – Not a True 5-Star Hotel

The hotel itself is okay and the rooms are renovated, but the service is absolutely not up to 5-star standards:

Rooms: Very minimalist (no hairdryer holder, no iron).

Restaurant & Service: Completely overcrowded in the air-conditioned indoor area in the evenings – you have to wait for a free table. It's noticeable that there's a staff shortage.

All Inclusive Plus: Brand-name alcohol (e.g., Jameson) is refused despite the All Inclusive Plus package or is inexplicably ""extra.""

Sunbeds: On the beach, everything is already reserved with towels by 9 a.m.

Anyone wanting to avoid this kind of vacation stress is unfortunately in the wrong place.",3,2026-07-31T08:39:17Z,Import,en
Natália Ležovičová,"We rate our holiday at the hotel positively overall. The room was spacious, nicely furnished and well equipped, so we felt comfortable in it. However, we noticed some minor shortcomings in the cleaning of the bathroom, which could have been more thorough.

The food was rather average. The menu looked very tempting and varied at first glance, but the dishes were less flavorful and could have been better seasoned.

The beach service was without any problems and we really appreciated the wide selection of drinks.

The hotel's great advantage is its location. The proximity to Antalya airport was one of the main priorities for our family, so we rate the location excellently.

The biggest disappointment for us was the evening program. We missed more varied and interesting evening entertainment during our stay. Compared to other hotels we visited, the animation program was rather weak, unimaginative and sometimes boring. The themed evening party was held only once during the entire stay, which we consider insufficient. As a family with children, we often felt that there was not much to do in the evenings, and this is an area where the hotel could significantly improve.

We would especially like to praise the Slovak animator Veronika. She was very kind, helpful and dedicated to the children throughout their stay. She tried to entertain them and create a pleasant atmosphere, which we greatly appreciate. The presence of the Slovak animator was a big plus for us and one of the reasons why we enjoyed our stay even more.",4,2026-07-31T07:13:34Z,Import,en
utku kaçar,"The food selection is good, the quality is excellent, only the grilled dishes could be a little better. The staff are friendly, and the animation team is quite good. Ms. Sevil from the animation team was very attentive.",5,2026-07-31T05:30:43Z,Import,en
Татьяна Сульженко,"I chose this hotel by chance. My favorite travel agent recommended it. BUT! I love everything: the hotel's vacation concept is very well thought out, the food, the pool, the beach—they're absolutely stunning! Today we had dinner at the à la carte restaurant Sehrazat—it was delicious, and the view was absolutely beautiful. Thanks to Ida and Eli for the recommendation 🌺. I highly recommend this hotel!",5,2026-07-31T03:47:51Z,Import,en
Ben Jones,"Great hotel with lots of food choices. We really enjoyed the alacarte (Turkish style).
Would defiantly recommend to another family.",5,2026-07-31T02:05:00Z,Import,en
Erhan Kartal,"First of all, I can recommend this hotel as a great value-for-money option for families with children. We stayed for 6 nights and were very satisfied. We were especially pleased with Ms. Damla's attention and care. I highly recommend it.",5,2026-07-31T00:22:09Z,Import,en
Jasmin Alekuzei,Sultan's Grillroom is highly recommended and we were very well looked after. The food was delicious. We will gladly come again.,5,2026-07-30T22:39:17Z,Import,en
Filiz TEKİNARSLAN,It has been a staple of our holidays for the past 4 years. I recommend it to everyone.,5,2026-07-30T20:56:26Z,Import,en
Ewelina Rybak,The service at the a la carte restaurant was exceptional. The food was delicious!,5,2026-07-30T19:13:34Z,Import,en
Dominika Wójcik,"I recommend this hotel. It's a great base. The hotel grounds are spacious, green, and clean. Everything deserves the highest rating – the rooms, the cleanliness, the attractions, and the atmosphere. I especially want to praise the service during meals. The staff were incredibly polite, smiling, and always helpful, making every meal a true pleasure.

The à la carte restaurant also made a huge impression on us. The dishes were delicious, beautifully presented, and prepared with the utmost care. It was definitely one of the highlights of our stay.",5,2026-07-30T17:30:43Z,Import,en
Світлана Годик,"The vacation left behind fond memories.
Friendly staff, delicious food, a good Italian restaurant with a beautiful sea view.",5,2026-07-30T15:47:51Z,Import,en
Артем Годик,"I really enjoyed my stay, friendly staff, delicious food, good shows",5,2026-07-30T14:05:00Z,Import,en
Dr sai ram,"⭐⭐⭐⭐⭐

We had an amazing stay at this sea resort and would definitely come back. The location is beautiful, with easy access to the beach and It was the perfect place to relax and switch off.

The room was clean, comfortable, and well looked after throughout our stay. The housekeeping team did a great job every day, and the entire resort felt well maintained.

Everyone we met was friendly, welcoming, and genuinely helpful.

Highlight!!!  is the food
Every meal looked like a work of art, with beautiful attention to detail and elegant plating that made each dish feel special . You could tell the chefs took pride not only in the flavours but also in the way everything was presented. The Color, freshness, and creativity made dining a memorable part of our experience.
( Very well suited for vegetarians ).
They have a Very well equipped gym , and variety of entertainment for kids . ( ours are 3yo ) .

We’d genuinely , happily recommend it to friends and family and hope this helps.",5,2026-07-30T12:22:09Z,Import,en
MUSTAFA CİLA,"We came for our honeymoon and the food, the view, the pool, the activities and the sea were wonderful. The staff's attentiveness was exceptional. Thank you for everything, Adora Hotel Resort family.",5,2026-07-30T10:39:17Z,Import,en
Andrei D.,"We had a wonderful family vacation at Adora Hotel & Resort. The facilities were great, the staff was friendly, and the overall atmosphere was perfect for families with children. A special thank you to Veronika from the Mini Club animation team, who was always kind, welcoming, and very helpful whenever our child joined there. Her positive attitude made us feel comfortable and added to our enjoyable stay. We would be happy to visit again!",5,2026-07-30T08:56:26Z,Import,tr
Елизавета,"I really enjoyed my stay at the Adora Hotel & Resort. The food was delicious, the hotel was conveniently located, and there were various shops right on the premises, from souvenir shops to a regular market. The entertainment was simply magical. Everyone was so friendly and outgoing. However, there was one entertainer who ran the darts program who constantly looked at me with a strange expression and a certain disapproval. Towards the very end of our vacation, she passed me by and started asking me something in English. Even though I'd been on vacation for over six days, she'd spoken to me in Russian several times. Perhaps she was trying to be offensive. So, friends, just ignore her. If you suddenly notice that people are talking about you behind your back or giving you strange looks, just forget about it and hang out with the other great entertainers.",4,2026-07-30T07:09:37Z,Import,tr
Natalia Popova,"We were very pleased with our stay at the Adora Hotel. The daytime and evening entertainment was top-notch for both children and adults. I want to express my gratitude to Alina Popova, who runs the bocha, and to Arina, Tolga, and the entire animation team—you're the best. The food was varied, the rooms were comfortable, and always clean. Special thanks to the Guest Relations team: Umut, Ida, Damla, Elif, and Melek for their attention—you make us feel special and help us with all our questions. I recommend this place to everyone.",5,2026-07-30T05:18:51Z,Import,en
Ali KOÇ,"We have been staying at this hotel for two years and, God willing, we are planning to spend our third summer here next year. Everything is very high quality, the staff are very polite and attentive. It is a clean, decent family hotel. We would like to thank Ms. İda and Mr. Yusuf at the Şehrazat restaurant and all the other staff for their attention.
We would like to thank the animation team and especially Eren, and all the staff whose names I don't know.",5,2026-07-30T03:28:05Z,Import,tr
Татьяна Цыганок,"We booked this hotel on a friend's recommendation. We loved it. The room was clean, spacious, and newly renovated. The sea view was stunning! The grounds were large and well-maintained. The beach was wonderful, with fine sand and plenty of sun loungers. We weren't too impressed with the pool; there was no shade at all and no steps to get in safely. But we came to the sea, not to swim in the pool. The food was varied. The coffee from the machines wasn't great. We liked the pastry shop – delicious coffee, cakes, and ice cream. The staff was friendly. They congratulated us on our wedding anniversary and brought wine and fruit to our room. It was a pleasure.",5,2026-07-30T01:37:19Z,Import,en
Seher Aksu,"All the staff are friendly and helpful.
The food is very good and varied.
The rooms are very functional and clean.
We were very satisfied.
Our chef Cihan is a wonderful person. The service is superb 😊😊🥰",5,2026-07-29T23:46:32Z,Import,en
Irina Sorici,"I had a special service in this wonderful restaurant, I recommend it to everyone, the Turkish food is superb!🤗🤗🤗",5,2026-07-29T21:55:46Z,Import,en
Aslı Aksu,"The hotel atmosphere, food, and service were excellent. The staff were very friendly and attentive. We would definitely choose this hotel again in the future. Greetings to Chef Cihan and Ms. İda.",5,2026-07-29T20:05:00Z,Import,tr
Nevzat Berk AHLAT,"We had a wonderful holiday, everyone was so attentive and friendly. It's a hotel I would definitely choose again 🙏",5,2026-07-29T18:14:14Z,Import,en
